Timestamp,Message
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Checkpoint found at: 0 -1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Checkpoint found at: 0 -1
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Checkpoint found at: 1 -1
2024-03-28 14:32:41,Exploring: 0 -1 0
2024-03-28 14:32:41,Exploring: 1 -1 0
2024-03-28 14:32:41,Exploring: 2 -1 0
2024-03-28 14:32:41,Checkpoint found at: 2 -1
2024-03-28 14:32:41,Exploring: 2 0 0
2024-03-28 14:32:41,Exploring: 1 -2 0
2024-03-28 14:32:41,Checkpoint found at: 2 -1
2024-03-28 14:32:41,Exploring: 2 -2 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Exploring: 2 1 0
2024-03-28 14:32:41,Checkpoint found at: 2 1
2024-03-28 14:32:41,Exploring: 2 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: -1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Exploring: -1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: -1 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Exploring: -1 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,TilesMap size: 8
2024-03-28 14:32:41,visited: 2
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,TilesMap size: 5
2024-03-28 14:32:41,visited: 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 0 2 0
2024-03-28 14:32:41,TilesMap size: 5
2024-03-28 14:32:41,visited: 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 0 2 0
2024-03-28 14:32:41,TilesMap size: 5
2024-03-28 14:32:41,visited: 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 0 2 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,TilesMap size: 5
2024-03-28 14:32:41,visited: 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,TilesMap size: 8
2024-03-28 14:32:41,visited: 2
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Connected to WiFi
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,TilesMap size: 0
2024-03-28 14:32:41,visited: 0
2024-03-28 14:32:41,Exploring: 0 0 0
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,TilesMap size: 5
2024-03-28 14:32:41,visited: 1
2024-03-28 14:32:41,Exploring: 0 1 0
2024-03-28 14:32:41,Exploring: 1 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Exploring: 1 0 0
2024-03-28 14:32:41,Checkpoint found at: 1 0
2024-03-28 14:32:41,Checkpoint found at: 1 1
2024-03-28 14:32:41,Checkpoint found at: 0 1
2024-03-28 14:32:41,Checkpoint found at: 0 0
